network systems,3,2,,,,2,,1,,,,,2,,1,2,,,,,2,2,,,,3,3,,3,,2,,,3,,,1,2,,,,2,2,,,,,3,3,,,,3,3,,,1,,,,,,
social networks,2,1,,,,,,2,,,,,3,,,1,,,,,,,,,,1,,,,,2,,,1,,,,3,,,,2,,,,,,3,,,,,,3,,,,1,,,,,
wireless networks,3,2,2,3,3,,,2,,,,,1,,1,3,,,,,,,,,,3,3,,,,2,,3,2,,,,,,,,2,1,,,,,2,1,,,,3,,,,2,,,,,,
wireless communications digital communications,2,2,3,2,3,,,3,,,,2,,,2,3,,,,,,2,,2,2,3,1,,,,2,,3,1,1,,,,,,,2,1,,,,2,,,,,,2,1,,,2,,,,2,2,
sensor networks,1,2,1,2,,,2,2,,,,2,2,,,2,,,,,,2,,,,1,,3,1,1,2,1,,1,,,,,3,,,2,2,,1,,,1,2,,,1,,1,,,1,,,,,1,1
information and coding theory,,2,3,3,,,,3,,,,,,2,2,3,3,,,3,2,,,2,2,2,,,,,2,,,,,,1,3,,,,3,1,,,,,1,,,,,,2,,,3,,1,,,,
signal processing,,2,3,3,2,,,3,1,,2,2,,,2,2,3,,,,,,,2,1,2,,,,1,2,3,,,2,,,3,,,1,3,1,2,1,,2,2,,,2,,,2,,,2,,3,,,,2
image and video processing,2,2,2,2,,,,2,1,,,,,,3,2,2,3,,,2,3,,,,1,,,,,,1,2,,,,,,,,,3,3,2,2,2,,,,,,,2,,,,2,,3,,,,2
control systems,3,3,1,1,1,,,1,,,3,,,,,2,,,,,,1,,,3,,,,,,3,,,,,,,2,,,,1,3,,,,,1,,,1,,,3,,,1,,3,,,1,
optimization stochastic optimization,3,3,1,2,1,,,2,,,3,,,,1,2,,,,,2,1,,,,,,,,,3,,,,,,1,3,,,,1,2,,,,,1,,,,,1,3,,,1,,2,,,,
medical imaging,,2,1,1,1,,,2,3,,,1,,,1,,,,,,2,2,,,,,,1,,1,2,3,2,,,,,,2,,3,2,3,3,1,,2,1,,,1,3,,,,,,,1,,,2,
statistical inference graphical models,2,3,1,3,,,,2,,,,1,,,1,1,3,,,2,,,,,2,,,,,,2,,,,,,,3,,,,2,3,,,,,3,,,2,,,3,,,3,,,,,,
energy systems smart grids,3,3,1,,1,2,1,2,,,1,,1,,,2,,,,,3,1,,,,,3,,2,1,2,,3,,,,,2,1,,,2,2,,,,,3,,,,1,2,2,,,,,,,,,
biomedical devices,3,,,,,,2,,2,,,,,,,1,,,3,,2,2,2,,,,,2,1,3,,3,2,,3,,,,2,2,,,,2,2,1,3,,,,3,3,,,,3,,,2,2,,2,
nanoelectronic devices,,,,,,,,,,,,,,,,,,,3,,,,1,,,,2,,,,,2,,,,1,3,,1,3,,,,,3,1,,,,3,1,,,,,2,,,,3,3,2,
opto-electronic devices,,,,,,,,,1,2,,1,,,,,,,3,,3,2,1,1,,,2,,,1,,3,,,,3,,,,2,,,,,,,,,,2,,3,,,3,,,,,,,1,
optical interconnects,,,,,,,,,,2,,,,,,,,,3,,,,,1,,,1,,,,,3,,1,,3,,,,2,,,,,1,,,,,3,,1,,,2,,,,,,,,
nanofabrication technology,,,,,,,,,,1,,,,,,,,,3,,2,,3,,,,,1,,,,,,,,2,2,,,2,,,,,3,2,,,,3,,3,,,1,1,,,,3,3,,
