# n_high=125000  source=merged_natural.tsv  seed=42
# selection by 7-feature residual: rows 1-50 worst-first, rows 51-100 best-last
key_s1	key_s2	n_sims	n_wins	m01	m02	m10	m11	m12	m20	m21	n_to_move	n_opp	imm_win_to_move	imm_win_opp	predicted_win_7	predicted_win_11	empirical_win
BCEFHKO	DIM	125000	117264	2	0	5	4	1	10	2	7	3	5	0	1.317559	1.043799	0.938112
ABELP	CFHJKMO	125000	49198	1	9	0	5	5	2	2	5	7	2	3	0.112441	0.377114	0.393584
ACFHJLMO	BEP	125000	119528	0	0	5	7	0	8	4	8	3	5	0	1.218015	1.076462	0.956224
BEGHJK	ACIMN	125000	94768	1	2	3	3	3	8	4	6	5	4	2	1.032264	0.791815	0.758144
ABFGIO	DMNP	125000	116113	3	0	3	6	2	9	0	6	4	6	0	1.180408	1.039456	0.928904
BFGIK	HNP	125000	104842	2	2	7	1	1	8	2	5	3	6	2	1.090580	0.997346	0.838736
ACFGNO	ILM	125000	108941	4	1	6	3	0	8	2	6	3	6	1	1.102378	1.022817	0.871528
ABDEJK	GHLO	125000	84734	2	2	3	4	3	6	3	6	4	3	2	0.866859	0.690979	0.677872
ACGJLO	DEHN	125000	96356	1	1	4	8	1	6	2	6	4	3	1	0.967163	0.792708	0.770848
ABGHKP	DELNO	125000	80038	2	2	3	5	2	5	4	6	5	2	2	0.802696	0.613818	0.640304
BCENO	DGIKLM	125000	72573	4	5	2	4	4	3	2	5	6	3	2	0.411187	0.558710	0.580584
AGHJK	BNP	125000	113069	2	1	4	6	0	8	1	5	3	7	1	1.097578	1.084096	0.904552
ABO	DFHJK	125000	33442	5	8	4	3	2	1	0	3	5	1	5	0.111332	0.219235	0.267536
ACGHIJL	DEFP	125000	97264	1	1	2	6	1	6	6	7	4	3	1	0.945359	0.777239	0.778112
ACI	GHJKP	125000	48850	7	8	2	1	2	3	0	3	5	3	6	0.187033	0.263352	0.390800
ABHIL	DFJMOP	125000	63551	2	7	1	7	1	3	2	5	6	3	4	0.324580	0.456264	0.508408
