name,h,f,l,p,r,s
c33694,5,7,8,1,1,1
c59714,5,8,7,1,1,1
c657615,5,11,2,1,1,1
c96372,6,5,9,1,1,1
c196271,6,7,6,1,1,1
c677613,6,10,1,1,1,1
c210242,7,3,10,1,1,1
c189348,7,5,7,1,1,1
c558612,7,7,4,1,1,1
c407253,7,9,1,1,1,1
c102169,8,4,7,1,1,1
c104872,8,8,1,1,1,1
c719008,9,6,3,1,1,1
c920714,10,6,2,1,1,1
c211352,11,4,4,1,1,1
c298289,4,7,11,2,1,1
c387310,4,11,3,2,1,1
c82530,4,12,1,2,1,1
c164169,5,10,2,2,1,1
c912227,6,1,15,2,1,1
c50,6,7,5,2,1,1
c14950,6,9,1,2,1,1
c92442,7,2,11,2,1,1
c75529,7,7,3,2,1,1
c87119,8,5,5,2,1,1
c444351,8,7,2,2,1,1
c389863,9,7,1,2,1,1
c669381,10,5,3,2,1,1
c441519,11,3,5,2,1,1
c56015,12,1,7,2,1,1
c114351,13,2,5,2,1,1
c35952,3,11,4,1,2,2
c1,3,11,4,2,1,2
c60886,3,11,4,2,2,1
c83156,3,11,4,3,1,1
c407438,3,12,1,1,2,2
c333796,3,12,1,2,1,2
c118156,3,12,1,2,2,1
c366877,3,12,1,3,1,1
c1,4,7,9,1,2,2
c1,4,7,9,2,1,2
c1,4,7,9,2,2,1
c46730,4,7,9,3,1,1
c47688,4,10,2,1,2,2
c67,4,10,2,2,1,2
c26386,4,10,2,2,2,1
c9614,4,10,2,3,1,1
c198495,5,1,18,1,2,2
c2,5,1,18,2,1,2
c198807,5,1,18,2,2,1
c198043,5,1,18,3,1,1
c1,5,6,8,1,2,2
c1,5,6,8,2,1,2
c61046,5,6,8,2,2,1
c106931,5,6,8,3,1,1
c123685,5,9,2,1,2,2
c228828,5,9,2,2,1,2
c233536,5,9,2,2,2,1
c248397,5,9,2,3,1,1
c91514,6,2,13,1,2,2
c47796,6,2,13,2,1,2
c65258,6,2,13,2,2,1
c147945,6,2,13,3,1,1
c207202,6,8,2,1,2,2
c30171,6,8,2,2,1,2
c117400,6,8,2,2,2,1
c73260,6,8,2,3,1,1
c1,7,6,4,1,2,2
c1,7,6,4,2,1,2
c1,7,6,4,2,2,1
c3957,7,6,4,3,1,1
c1,8,7,1,1,2,2
c1,8,7,1,2,1,2
c6590,8,7,1,2,2,1
c1,8,7,1,3,1,1
c178718,9,2,8,1,2,2
c43320,9,2,8,2,1,2
c126342,9,2,8,2,2,1
c86429,9,2,8,3,1,1
c20764,10,2,7,1,2,2
c52786,10,2,7,2,1,2
c659,10,2,7,2,2,1
c57305,10,2,7,3,1,1
c27162,10,4,4,1,2,2
c1,10,4,4,2,1,2
c19427,10,4,4,2,2,1
c46125,10,4,4,3,1,1
c187720,10,6,1,1,2,2
c116887,10,6,1,2,1,2
c244722,10,6,1,2,2,1
c211938,10,6,1,3,1,1
c47234,11,4,3,1,2,2
c387,11,4,3,2,1,2
c51767,11,4,3,2,2,1
c25681,11,4,3,3,1,1
c123271,12,3,4,1,2,2
c1,12,3,4,2,1,2
c183810,12,3,4,2,2,1
c233621,12,3,4,3,1,1
c1,2,10,10,1,2,3
c1,2,10,10,1,3,2
c1,2,10,10,2,1,3
c1,2,10,10,2,2,2
c1,2,10,10,2,3,1
c14961,2,10,10,3,1,2
c28873,2,10,10,3,2,1
c1,2,10,10,4,1,1
c1,2,11,6,1,2,3
c1,2,11,6,1,3,2
c1,2,11,6,2,1,3
c1,2,11,6,2,2,2
c1,2,11,6,2,3,1
c109,2,11,6,3,1,2
c10076,2,11,6,3,2,1
c32,2,11,6,4,1,1
c1,2,12,2,1,2,3
c22469,2,12,2,1,3,2
c1,2,12,2,2,1,3
c1,2,12,2,2,2,2
c1,2,12,2,2,3,1
c80912,2,12,2,3,1,2
c69802,2,12,2,3,2,1
c1,2,12,2,4,1,1
c1,3,10,3,1,2,3
c215684,3,10,3,1,3,2
c1,3,10,3,2,1,3
c1,3,10,3,2,2,2
c1,3,10,3,2,3,1
c120764,3,10,3,3,1,2
c408863,3,10,3,3,2,1
c34293,3,10,3,4,1,1
c1,4,6,10,1,2,3
c3687,4,6,10,1,3,2
c1,4,6,10,2,1,3
c1,4,6,10,2,2,2
c1,4,6,10,2,3,1
c98347,4,6,10,3,1,2
c171563,4,6,10,3,2,1
c1,4,6,10,4,1,1
c1,7,5,5,1,2,3
c23250,7,5,5,1,3,2
c1,7,5,5,2,1,3
c1,7,5,5,2,2,2
c1,7,5,5,2,3,1
c70993,7,5,5,3,1,2
c23137,7,5,5,3,2,1
c232,7,5,5,4,1,1
c1,7,6,3,1,2,3
c14072,7,6,3,1,3,2
c1,7,6,3,2,1,3
c1,7,6,3,2,2,2
c1,7,6,3,2,3,1
c190916,7,6,3,3,1,2
c52407,7,6,3,3,2,1
c1,7,6,3,4,1,1
c1,7,7,1,1,2,3
c42400,7,7,1,1,3,2
c1,7,7,1,2,1,3
c109,7,7,1,2,2,2
c1,7,7,1,2,3,1
c21248,7,7,1,3,1,2
c20579,7,7,1,3,2,1
c1,7,7,1,4,1,1
c1,8,2,9,1,2,3
c1,8,2,9,1,3,2
c7977,8,2,9,2,1,3
c1,8,2,9,2,2,2
c1,8,2,9,2,3,1
c1,8,2,9,3,1,2
c1,8,2,9,3,2,1
c1,8,2,9,4,1,1
c1,8,6,2,1,2,3
c1,8,6,2,1,3,2
c1,8,6,2,2,1,3
c1,8,6,2,2,2,2
c1,8,6,2,2,3,1
c123268,8,6,2,3,1,2
c1030,8,6,2,3,2,1
c1,8,6,2,4,1,1
c1,9,6,1,1,2,3
c17750,9,6,1,1,3,2
c1,9,6,1,2,1,3
c232183,9,6,1,2,2,2
c1,9,6,1,2,3,1
c953,9,6,1,3,1,2
c321347,9,6,1,3,2,1
c144881,9,6,1,4,1,1
c67,10,3,5,1,2,3
c53304,10,3,5,1,3,2
c1,10,3,5,2,1,3
c1,10,3,5,2,2,2
c1,10,3,5,2,3,1
c27,10,3,5,3,1,2
c26030,10,3,5,3,2,1
c556,10,3,5,4,1,1
c1,10,5,2,1,2,3
c74164,10,5,2,1,3,2
c1,10,5,2,2,1,3
c161603,10,5,2,2,2,2
c300,10,5,2,2,3,1
c3208,10,5,2,3,1,2
c26762,10,5,2,3,2,1
c185868,10,5,2,4,1,1
c18093,11,2,6,1,2,3
c275668,11,2,6,1,3,2
c22813,11,2,6,2,1,3
c14839,11,2,6,2,2,2
c1,11,2,6,2,3,1
c275154,11,2,6,3,1,2
c27960,11,2,6,3,2,1
c153431,11,2,6,4,1,1
c15495,2,9,9,1,3,3
c6089,2,9,9,1,4,2
c1,2,9,9,2,2,3
c1,2,9,9,2,3,2
c1,2,9,9,3,1,3
c5797,2,9,9,3,3,1
c1,2,9,9,4,1,2
c31139,2,9,9,4,2,1
c274011,2,10,5,1,3,3
c11280,2,10,5,1,4,2
c749,2,10,5,2,2,3
c1,2,10,5,2,3,2
c1699,2,10,5,3,1,3
c227833,2,10,5,3,3,1
c196336,2,10,5,4,1,2
c143114,2,10,5,4,2,1
c217955,3,7,10,1,3,3
c99,3,7,10,1,4,2
c211,3,7,10,2,2,3
c119,3,7,10,2,3,2
c962,3,7,10,3,1,3
c32876,3,7,10,3,3,1
c8462,3,7,10,4,1,2
c41032,3,7,10,4,2,1
c20371,4,5,11,1,3,3
c1,4,5,11,1,4,2
c1,4,5,11,2,2,3
c1,4,5,11,2,3,2
c1,4,5,11,3,1,3
c138,4,5,11,3,3,1
c1,4,5,11,4,1,2
c1,4,5,11,4,2,1
c1,6,4,8,1,3,3
c39755,6,4,8,1,4,2
c1,6,4,8,2,2,3
c14,6,4,8,2,3,2
c1,6,4,8,3,1,3
c1,6,4,8,3,3,1
c1,6,4,8,4,1,2
c68,6,4,8,4,2,1
c15047,6,7,1,1,3,3
c1573,6,7,1,1,4,2
c21298,6,7,1,2,2,3
c1,6,7,1,2,3,2
c7327,6,7,1,3,1,3
c297,6,7,1,3,3,1
c1,6,7,1,4,1,2
c116715,6,7,1,4,2,1
c1,7,3,8,1,3,3
c69,7,3,8,1,4,2
c327,7,3,8,2,2,3
c1,7,3,8,2,3,2
c1,7,3,8,3,1,3
c45875,7,3,8,3,3,1
c573,7,3,8,4,1,2
c1,7,3,8,4,2,1
c25739,8,4,5,1,3,3
c1,8,4,5,1,4,2
c1,8,4,5,2,2,3
c1,8,4,5,2,3,2
c1,8,4,5,3,1,3
c1,8,4,5,3,3,1
c1,8,4,5,4,1,2
c1,8,4,5,4,2,1
c95601,8,5,3,1,3,3
c71331,8,5,3,1,4,2
c51129,8,5,3,2,2,3
c1749,8,5,3,2,3,2
c1,8,5,3,3,1,3
c147279,8,5,3,3,3,1
c38333,8,5,3,4,1,2
c244569,8,5,3,4,2,1
c1239,9,4,4,1,3,3
