name,h,f,l,p,r,s
c783601,6,10,1,1,1,1
c696747,5,10,2,2,1,1
c640061,7,1,10,10,10,3
c179648,3,10,3,3,2,1
c133215,4,10,2,1,2,2
c112313,4,2,10,10,10,6
c111062,4,10,2,2,1,2
c109740,3,10,3,1,3,2
c106629,8,4,3,6,1,4
c100309,4,10,2,3,1,1
c96367,3,10,3,3,1,2
c91493,4,10,2,2,2,1
c85303,9,6,1,2,2,2
c81842,9,5,2,1,3,3
c77837,9,5,1,4,4,1
c77682,2,9,5,4,3,1
c76898,9,5,1,1,4,4
c70476,2,7,1,6,5,1
c69580,2,10,5,1,3,3
c66921,9,1,9,3,5,2
c64245,4,3,10,1,8,7
c62873,2,9,5,4,1,3
c62766,2,7,1,7,1,4
c61209,9,5,1,5,1,3
c60245,3,8,1,2,5,2
c59142,8,4,3,1,5,5
c58463,10,5,2,4,1,1
c57128,2,9,5,1,4,3
c56585,1,6,4,8,6,1
c55435,8,4,3,6,4,1
c55393,3,10,3,4,1,1
c54205,7,3,5,8,1,5
c54171,9,5,2,2,3,2
c53774,2,7,10,5,1,3
c52333,9,1,9,5,1,4
c51897,9,5,2,4,1,2
c51483,9,6,1,4,1,1
c49344,10,5,1,1,4,3
c49097,2,7,1,1,6,5
c48319,9,6,1,3,2,1
c48031,3,8,1,4,4,1
c47230,7,9,1,1,1,1
c47126,2,7,1,7,2,3
c45625,2,7,10,1,4,4
c44982,2,8,2,3,2,5
c44971,3,8,1,3,2,4
c44490,8,4,3,3,3,5
c44489,10,5,1,4,3,1
c44344,8,4,3,2,5,4
c44248,2,10,5,4,1,2
c43911,3,8,1,1,4,4
c42619,4,3,10,8,1,7
c42228,1,6,4,8,1,6
c42209,2,8,2,6,3,1
c42114,3,8,1,6,1,2
c41584,2,7,1,6,1,5
c41012,1,9,1,1,5,4
c40693,2,7,1,2,7,3
c40288,2,8,2,1,6,3
c40149,1,6,4,1,7,7
c40053,8,4,3,7,1,3
c39622,3,8,1,6,2,1
c37729,2,7,1,7,4,1
c37242,9,1,9,6,1,3
c37157,2,7,1,2,4,6
c36440,10,1,8,6,1,3
c36228,8,1,10,2,5,5
c36187,10,3,4,1,5,4
c34426,1,6,4,1,8,6
c33405,10,1,8,3,5,2
c33245,10,5,1,4,1,3
c32691,9,3,4,1,6,5
c32608,2,7,10,4,4,1
c32044,2,7,1,3,3,6
c31941,8,4,3,5,5,1
c31930,2,7,10,5,3,1
c30754,2,7,1,3,7,2
c30733,3,7,10,1,3,3
c30490,3,6,1,1,6,6
c30451,1,6,4,7,7,1
c30261,6,2,9,9,1,7
c30145,1,6,4,9,1,5
c30072,9,1,9,6,3,1
c29908,3,8,1,3,4,2
c29770,10,5,1,1,3,4
c29690,6,2,10,9,2,3
c29233,3,8,1,1,5,3
c29228,6,2,10,4,3,7
c28974,9,1,9,2,4,4
c28722,8,4,3,4,5,2
c28630,2,8,2,5,1,4
c28493,8,7,2,2,1,1
c27957,3,8,1,5,3,1
c27350,3,8,1,4,1,4
c27217,9,3,4,6,5,1
c26921,9,5,2,3,3,1
c26336,8,4,3,1,6,4
c26312,8,4,4,5,3,1
c26208,10,1,8,5,1,4
c25784,1,9,1,5,1,4
c25607,7,3,5,1,7,6
c25549,8,4,4,5,1,3
c25516,1,6,4,2,8,5
c24876,6,2,10,5,7,2
c24702,2,10,5,3,3,1
c24681,8,3,5,6,5,1
c24648,9,3,4,6,1,5
c24389,3,9,3,3,3,1
c24189,2,7,1,8,2,2
c24173,10,1,8,7,2,1
c23841,10,2,6,5,1,4
c23791,3,8,1,5,1,3
c23524,2,7,1,4,2,6
c22973,10,1,8,4,5,1
c22934,6,2,10,7,6,1
c22890,9,1,9,4,2,4
c22849,1,6,4,7,1,7
c22751,4,8,1,1,4,3
c22698,10,6,1,2,1,2
c22558,2,7,1,3,4,5
c22548,8,1,10,6,1,5
c22525,9,1,9,2,5,3
c22364,8,4,3,6,2,3
c22319,2,7,1,4,6,2
c22235,9,1,9,3,4,3
c22160,8,1,10,1,6,5
c22130,9,1,9,6,2,2
c21927,8,1,10,6,5,1
c21877,8,1,10,3,2,7
c21791,9,1,9,5,3,2
c21345,6,2,10,4,8,2
c21261,2,8,2,3,5,2
c20507,8,1,10,7,1,4
c20456,10,2,6,6,3,1
c20329,10,1,8,7,1,2
c20092,10,5,1,2,3,3
c20040,4,3,10,8,7,1
c20039,9,1,9,7,1,2
c19995,9,5,2,2,2,3
c19988,10,2,6,6,1,3
c19843,10,1,8,2,3,5
c19628,10,2,6,2,5,3
c19506,7,3,5,7,6,1
c19320,10,1,8,2,4,4
c19312,10,1,8,2,5,3
c18599,5,9,2,2,2,1
c18188,10,1,8,6,3,1
c18098,8,4,4,3,4,2
c18051,8,4,3,3,5,3
c18037,9,1,9,7,2,1
c17724,1,9,1,2,3,5
c17719,8,3,5,5,4,3
c17683,4,3,10,9,1,6
c17180,7,3,5,2,6,6
c17013,10,1,8,1,4,5
