name,h,f,l,p,r,s
c12207143,6,1,10,10,10,10
c4458137,3,2,10,10,10,10
c3701536,9,7,1,2,1,1
c3597175,4,2,10,10,10,6
c1595416,7,1,10,10,3,10
c1400790,10,4,3,2,1,4
c1267092,3,9,3,3,3,1
c1265702,2,3,10,10,10,4
c1244219,6,8,2,1,3,1
c1228093,8,7,1,1,2,2
c1195209,3,7,3,5,1,4
c1158556,10,1,8,4,1,5
c1137473,2,10,10,2,1,3
c1089004,10,4,4,1,1,3
c1059805,7,1,10,10,10,3
c1036611,5,9,2,2,2,1
c1031855,6,10,1,1,1,1
c1003704,3,10,10,2,1,1
c998148,2,10,5,1,2,4
c994815,7,4,4,5,1,5
c992765,5,5,4,1,5,5
c965638,7,1,10,10,9,4
c912567,5,4,6,4,1,7
c881955,10,1,8,2,3,5
c866256,10,2,6,1,3,6
c839388,4,8,1,1,4,3
c815181,10,5,2,2,1,3
c808802,7,5,2,5,1,4
c779926,5,9,2,1,2,2
c744203,3,8,1,5,2,2
c723169,7,5,1,1,5,5
c703405,10,1,8,1,3,6
c700603,3,8,1,4,4,1
c687883,4,8,1,4,1,3
c678472,4,3,10,6,1,9
c656057,10,1,8,2,4,4
c654570,10,2,6,2,3,5
c646977,2,10,10,1,3,2
c639140,9,1,9,5,1,4
c637598,8,1,10,6,3,3
c628561,3,10,3,2,2,2
c624797,3,4,10,5,2,7
c623081,5,5,4,5,1,5
c605261,7,5,2,1,5,4
c597657,3,10,3,1,2,3
c595746,10,1,8,4,2,4
c588855,3,8,1,4,1,4
c585407,10,2,6,3,2,5
c560670,3,7,10,3,1,3
c556967,10,1,8,5,1,4
c552769,4,3,10,2,6,8
c551367,3,8,1,2,5,2
c546510,3,4,10,1,6,7
c540658,3,9,3,4,2,1
c530420,3,8,1,5,1,3
c529931,4,7,4,1,3,4
c528257,2,5,10,5,1,8
c525698,3,8,1,5,3,1
c518213,7,1,10,3,10,10
c502667,10,2,6,1,2,7
c488921,3,8,1,3,1,5
c487091,3,4,10,3,3,8
c479450,5,10,2,1,1,2
c458907,8,1,10,3,4,5
c456449,4,8,1,3,4,1
c445008,10,4,3,3,3,1
c444222,10,1,8,4,4,2
c410455,10,3,5,1,2,3
c403314,3,10,3,2,1,3
c401628,8,1,10,6,2,4
c398371,9,6,1,3,1,2
c384851,9,1,9,3,2,5
c381832,2,10,10,3,2,1
c379004,3,4,10,6,1,7
c378021,2,10,5,2,1,4
c377568,4,8,1,2,4,2
c376098,8,7,1,2,1,2
c376061,5,9,2,2,1,2
c374804,10,5,1,2,2,4
c371143,10,1,8,4,3,3
c369581,9,1,9,5,2,3
c365894,2,8,10,3,4,1
c347995,8,1,10,5,2,5
c343007,5,10,2,2,1,1
c341485,6,8,2,3,1,1
c341425,3,10,3,3,2,1
c338278,4,7,2,3,5,1
c336850,2,10,10,2,2,2
c333325,9,4,3,3,3,3
c332620,3,9,3,1,3,3
c319677,5,5,4,1,4,6
c310760,9,1,9,4,1,5
c306272,2,10,10,2,3,1
c303070,2,9,9,1,4,2
c300248,9,4,3,4,1,4
c282987,10,5,3,1,1,2
c280493,10,1,8,2,2,6
c273515,6,8,4,1,1,1
c269308,2,10,5,3,1,3
c268798,7,4,4,5,2,4
c268148,2,5,10,1,5,8
c264591,3,8,1,3,4,2
c263842,8,1,10,2,3,7
c263676,10,1,8,3,3,4
c260957,3,10,3,4,1,1
c260949,5,9,2,1,1,3
c253090,3,4,10,1,5,8
c251638,9,1,9,3,3,4
c243581,3,7,3,1,4,5
c241719,5,4,4,4,2,9
c238573,10,2,6,3,1,6
c238061,10,2,6,4,1,5
c236547,3,7,10,3,3,1
c234206,5,4,4,6,1,8
c234168,1,4,10,1,10,10
c231474,3,4,10,5,1,8
c227969,8,1,10,1,6,5
c227214,10,5,1,3,3,2
c222354,4,3,10,1,6,9
c220161,9,4,4,3,1,3
c220110,9,1,9,2,3,5
c219932,8,1,10,2,5,5
c215002,3,4,10,4,2,8
c214155,5,5,3,2,5,5
c212196,4,4,9,1,4,7
c209329,6,9,3,1,1,1
c208975,2,5,10,5,2,7
c207394,8,1,10,2,6,4
c203431,8,1,10,5,4,3
c202532,10,1,8,1,4,5
c201663,3,4,10,2,4,8
c199778,9,1,9,4,3,3
c179017,3,8,1,1,4,4
c178728,3,5,10,5,5,1
c178006,10,2,6,3,3,4
c177817,9,1,9,1,4,5
c173981,5,5,4,4,1,6
c170184,10,5,2,1,1,4
c160862,3,9,9,2,1,2
c159692,8,1,10,4,1,7
c157012,3,9,3,4,1,2
c156925,4,3,10,3,5,8
c155129,3,5,10,1,4,6
c152926,1,5,10,1,6,10
c152499,3,10,3,3,1,2
c146917,3,4,10,4,3,7
c144864,10,1,8,3,2,5
c144684,10,1,8,5,3,2
c133988,10,3,4,2,3,5
c131743,3,9,3,2,3,2
c128281,9,6,1,1,2,3
c126500,8,1,10,1,7,4
c125415,5,3,8,2,5,8
c121365,7,1,10,4,10,9
c121079,5,3,9,1,4,8
c118402,3,9,3,3,1,3
c117910,3,8,1,2,2,5
c117609,3,7,3,2,2,6
c114227,9,7,1,1,1,2
c111507,3,4,10,1,4,9
c107484,3,7,3,4,1,5
c106915,10,3,4,2,2,6
c105326,3,8,1,4,3,2
c105246,8,4,5,1,3,3
c104245,4,3,10,1,7,8
c102428,7,1,10,10,4,9
c102184,9,1,9,1,5,4
c101987,9,1,9,5,3,2
c101898,3,4,10,2,5,7
c100007,2,10,5,1,1,5
c99439,5,5,3,1,6,5
c97280,7,1,10,10,7,6
c97273,3,7,10,2,3,2
