name,h,f,l,p,r,s
c909055,7,1,10,10,10,3
c680976,7,1,10,10,3,10
c325743,4,2,10,6,10,10
c312720,4,2,10,10,10,6
c297238,7,1,10,10,4,9
c217366,3,8,1,4,4,1
c170564,3,3,10,1,10,9
c165160,4,8,1,4,1,3
c160530,3,8,1,5,3,1
c154469,2,4,10,4,4,10
c138965,4,8,1,1,4,3
c135959,1,4,10,4,10,7
c135850,2,3,10,5,10,9
c133094,2,4,10,7,1,10
c127240,6,5,3,5,1,4
c120681,10,2,6,4,1,5
c120075,6,10,1,1,1,1
c117071,10,6,1,1,1,3
c113582,3,8,1,2,5,2
c89521,2,4,10,1,10,7
c87710,10,3,4,3,2,5
c85148,8,1,10,2,1,9
c84010,3,3,10,3,10,7
c83775,10,2,5,3,2,10
c83469,10,5,3,2,1,1
c81887,10,1,7,9,1,10
c77720,5,10,2,1,1,2
c76025,3,10,3,1,2,3
c73776,3,8,1,1,4,4
c73570,6,9,3,1,1,1
c72890,5,8,2,3,2,1
c71656,6,8,2,2,1,2
c71427,6,8,2,3,1,1
c70445,8,1,10,3,1,8
c70232,4,8,1,4,3,1
c68836,10,1,8,4,2,4
c68229,10,1,8,2,3,5
c65438,4,8,1,3,4,1
c63101,2,3,10,10,10,4
c61640,2,10,5,1,2,4
c61408,8,1,10,5,2,5
c60735,9,3,5,3,2,4
c59732,1,7,9,5,1,6
c58810,10,5,3,1,2,1
c58564,5,8,2,3,1,2
c56969,5,9,2,2,2,1
c54800,2,10,10,2,1,3
c54266,10,2,5,2,3,10
c53912,6,8,2,1,2,2
c52517,10,2,6,2,2,6
c52292,10,1,8,3,3,4
c51608,4,8,1,5,2,1
c49886,3,5,10,5,1,5
c49092,8,1,10,2,2,8
c48317,5,5,5,1,5,4
c48289,6,6,1,1,5,3
c47401,3,9,9,2,2,1
c46010,9,6,1,2,1,3
c45598,10,2,6,2,3,5
c44631,10,1,8,2,2,6
c43748,5,9,2,2,1,2
c43547,6,9,1,2,1,1
c41645,6,8,2,1,3,1
c41041,10,5,3,1,1,2
c40855,3,9,9,2,1,2
c40655,1,4,10,2,10,9
c39808,8,1,10,3,3,6
c39543,4,9,9,1,1,1
c38920,3,10,10,2,1,1
c38651,5,5,4,1,5,5
c38425,2,9,9,1,4,2
c38369,9,1,9,3,3,4
c37795,5,5,3,5,1,6
c37759,10,3,4,1,3,6
c37008,3,10,3,2,2,2
c36862,10,2,6,1,3,6
c36671,5,10,2,1,2,1
c36600,10,1,8,2,4,4
c36556,5,5,3,1,5,6
c36172,2,9,9,2,1,4
c35771,9,1,9,4,2,4
c35438,4,8,1,4,2,2
c35383,2,8,2,4,1,5
c33103,8,5,3,1,2,4
c32970,5,5,6,4,3,2
c32961,9,6,1,3,2,1
c32586,10,4,4,1,1,3
c32582,10,2,6,4,2,4
c32358,4,8,1,2,3,3
c31837,10,1,8,4,4,2
c30318,8,1,10,4,3,5
c29778,10,3,4,4,3,3
c29722,4,10,2,2,2,1
c29432,3,3,10,2,10,8
c29411,8,3,6,1,3,5
c28530,3,9,3,2,1,4
c28342,3,10,3,3,2,1
c28264,3,5,10,5,2,4
c28244,4,8,1,2,4,2
c28211,2,10,5,2,1,4
c28062,2,8,10,4,3,1
c27977,10,1,8,4,1,5
c27366,5,9,2,1,3,1
c27297,10,1,8,4,3,3
c27266,10,1,8,1,4,5
c26691,9,3,5,3,3,3
c26507,3,9,3,2,3,2
c26058,10,1,8,1,3,6
c25877,10,3,4,4,1,5
c25463,10,3,5,1,1,4
c25433,5,9,2,1,2,2
c23883,10,1,8,5,1,4
c23715,10,2,6,3,2,5
c23682,10,2,6,3,1,6
c23676,9,1,9,1,3,6
c23643,2,4,10,6,2,10
c23610,9,6,1,1,2,3
c23322,10,3,4,2,2,6
c22705,2,8,2,5,4,1
c22094,5,10,2,2,1,1
c21774,6,8,2,2,2,1
c21585,8,1,10,3,2,7
c20932,5,5,5,4,1,5
c20191,8,3,6,2,2,5
c20016,9,6,1,3,1,2
c19636,3,8,1,6,1,2
c19464,4,8,1,2,2,4
c19277,3,10,3,1,1,4
c19027,6,5,4,1,5,3
c18443,3,10,3,2,1,3
c17922,10,5,2,1,2,3
c17607,10,5,1,1,2,5
c17323,2,8,10,4,1,3
c17018,5,6,2,1,5,4
c16902,4,8,1,5,1,2
c16615,2,10,10,1,1,4
